batch_id,split,anomaly_type,total_duration_min,final_conversion_pct,time_to_endpoint_min,raw_material_purity_coa
94,test,SENSOR_DRIFT,330,100.0,224.0,100.496
95,test,COMPOUND_FOAM_COOLING,330,100.0,211.0,100.268
96,test,COMPOUND_CASCADE,330,100.0,224.0,100.342
97,test,COMPOUND_FOAM_COOLING,330,100.0,224.0,98.462
98,test,NONE,330,100.0,224.0,100.116
99,test,NONE,330,100.0,224.0,98.419
100,test,NONE,330,100.0,211.0,100.482
101,test,NONE,330,100.0,206.0,100.436
102,test,NONE,330,100.0,224.0,97.555
103,test,SENSOR_DRIFT,330,100.0,224.0,100.042
104,test,SURFACE_FOAMING,330,100.0,224.0,97.704
105,test,SURFACE_FOAMING,330,100.0,224.0,97.437
106,test,NONE,330,100.0,206.0,98.711
107,test,COMPOUND_CASCADE,330,100.0,224.0,97.785
108,test,COMPOUND_CASCADE,330,100.0,224.0,97.692
109,test,COMPOUND_FOAM_COOLING,330,100.0,224.0,97.628
110,test,NONE,330,100.0,223.0,100.17
111,test,SENSOR_DRIFT,330,100.0,213.0,97.414
112,test,NONE,330,100.0,224.0,97.956
113,test,COOLING_SPIKE,330,100.0,224.0,99.583
114,test,NONE,330,100.0,203.0,98.401
115,test,FEED_PAUSE,330,100.0,221.0,97.46
116,test,NONE,330,100.0,209.0,97.694
117,test,NONE,330,100.0,219.0,99.84
118,test,COMPOUND_CASCADE,330,100.0,224.0,99.04
119,test,NONE,330,100.0,206.0,97.008
120,test,FEED_PAUSE,330,100.0,224.0,99.528
