batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
80,0,100.326,56.4,20.6,35.8,594.2,6.19,0.0,16.868,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,79,100.326,114.7,18.8,95.9,652.4,9.86,1.4,31.924,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,80,100.326,114.7,18.8,95.9,647.8,9.85,1.39,31.943,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,81,100.326,114.6,18.8,95.8,646.3,9.86,1.38,31.939,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,82,100.326,114.6,18.8,95.8,647.1,9.86,1.36,31.964,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,83,100.326,114.8,18.9,95.9,647.1,9.88,1.37,31.94,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,84,100.326,114.7,18.8,95.9,647.6,9.86,1.42,31.931,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,85,100.326,114.7,18.9,95.8,646.5,9.84,1.39,31.878,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,86,100.326,114.6,18.7,95.9,648.0,9.84,1.41,31.942,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,87,100.326,114.9,18.7,96.2,649.6,9.8,1.4,31.952,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,88,100.326,115.0,18.6,96.4,651.4,9.78,1.46,31.942,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,89,100.326,114.8,18.7,96.1,650.8,9.8,1.46,31.92,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,90,100.326,114.8,18.6,96.2,650.6,9.85,1.32,45.651,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,91,100.326,115.0,18.4,96.6,653.0,9.88,1.3,45.65,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,92,100.326,114.9,18.4,96.5,656.0,9.98,1.29,45.617,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,93,100.326,114.8,18.3,96.5,656.9,9.94,1.35,45.636,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,94,100.326,114.8,18.2,96.6,658.2,10.62,1.4,45.64,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,95,100.326,115.0,18.4,96.6,658.0,11.99,1.37,45.612,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,96,100.326,114.8,18.3,96.5,659.3,13.64,1.34,45.567,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,97,100.326,114.7,18.2,96.5,663.0,15.49,1.33,45.628,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,98,100.326,114.5,18.2,96.3,660.8,17.56,1.27,45.604,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,99,100.326,114.5,18.2,96.3,662.6,19.65,1.17,45.608,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,100,100.326,114.5,18.3,96.2,658.1,19.92,1.2,45.557,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,101,100.326,114.6,18.2,96.4,659.3,19.89,1.18,45.565,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,102,100.326,114.6,18.3,96.3,664.0,19.95,1.21,45.515,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,103,100.326,114.3,18.1,96.2,663.4,19.95,1.25,45.411,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,104,100.326,113.7,18.2,95.5,664.7,19.97,1.19,45.079,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,105,100.326,113.0,18.2,94.8,663.3,20.01,1.18,44.685,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,106,100.326,111.9,18.2,93.7,659.9,20.01,1.1,44.184,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,107,100.326,110.6,18.1,92.5,658.2,20.04,1.13,43.61,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,108,100.326,109.2,18.2,91.0,660.5,20.0,1.19,42.932,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,109,100.326,107.8,18.2,89.6,662.7,20.06,1.19,42.235,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,110,100.326,106.2,18.2,88.0,660.7,20.09,1.25,41.485,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,111,100.326,104.5,18.4,86.1,663.3,20.07,1.28,40.615,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,112,100.326,102.8,18.4,84.4,665.3,20.09,1.34,39.859,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,113,100.326,101.1,18.3,82.8,661.5,20.05,1.28,39.009,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,114,100.326,99.2,18.5,80.7,662.5,20.06,1.3,38.113,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,115,100.326,97.5,18.5,79.0,665.6,20.09,1.47,37.279,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,116,100.326,95.8,18.4,77.4,669.2,20.04,1.7,36.439,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,117,100.326,94.1,18.5,75.6,671.0,20.04,1.92,35.587,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,118,100.326,92.3,18.4,73.9,671.6,20.02,2.09,34.799,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,119,100.326,90.6,18.5,72.1,673.9,20.03,2.83,33.988,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,120,100.326,89.0,18.8,70.2,676.2,19.99,2.82,33.153,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,121,100.326,87.4,20.9,66.5,676.0,20.0,2.81,31.468,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,122,100.326,86.0,20.7,65.3,674.2,19.99,2.73,30.751,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,123,100.326,84.6,20.5,64.1,674.5,20.01,2.77,30.057,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,124,100.326,83.3,20.6,62.7,671.3,19.95,2.76,29.45,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,125,100.326,81.9,20.4,61.5,668.2,19.9,2.81,28.81,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,126,100.326,80.6,20.6,60.0,670.6,19.88,2.81,28.16,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,127,100.326,79.3,20.5,58.8,673.6,19.93,2.85,27.625,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,128,100.326,78.1,20.7,57.4,673.7,19.96,2.8,27.026,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,129,100.326,77.0,20.8,56.2,676.8,19.97,2.76,26.502,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,130,100.326,76.1,21.0,55.1,674.2,19.98,2.79,25.974,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,131,100.326,75.0,21.0,54.0,672.8,19.98,2.81,25.484,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,132,100.326,74.1,21.0,53.1,679.2,19.98,2.8,25.0,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,133,100.326,73.2,20.9,52.3,676.5,20.01,2.76,24.583,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,134,100.326,72.0,20.6,51.4,677.5,20.01,2.83,24.125,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,135,100.326,71.2,20.5,50.7,671.8,20.0,2.86,23.76,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,136,100.326,70.3,20.8,49.5,672.5,19.99,2.86,23.315,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,137,100.326,69.4,20.7,48.7,671.4,19.97,2.88,22.981,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,138,100.326,68.7,20.7,48.0,667.8,19.99,2.91,22.612,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,139,100.326,68.0,20.9,47.1,665.9,19.98,2.88,22.311,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,140,100.326,67.2,20.7,46.5,664.2,20.02,2.89,21.994,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,141,100.326,66.6,20.6,46.0,669.6,20.0,2.86,21.675,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,142,100.326,65.9,20.4,45.5,671.9,19.99,2.91,21.402,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,143,100.326,65.2,20.4,44.8,675.9,19.92,2.85,21.138,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,144,100.326,64.8,20.4,44.4,674.6,19.94,2.9,20.882,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,145,100.326,64.3,20.6,43.7,674.3,19.92,2.88,20.568,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,146,100.326,63.9,20.4,43.5,673.8,19.97,2.84,20.395,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,147,100.326,63.5,20.3,43.2,671.8,19.99,2.83,20.189,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,148,100.326,63.0,20.3,42.7,671.0,19.98,2.78,19.982,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,149,100.326,62.7,20.3,42.4,668.6,19.96,2.76,19.788,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,150,100.326,62.3,20.1,42.2,669.1,19.91,2.83,19.6,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,151,100.326,61.9,20.1,41.8,672.3,19.9,2.84,19.363,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,152,100.326,61.5,20.1,41.4,671.8,19.96,2.88,19.21,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,153,100.326,61.1,20.0,41.1,673.5,19.98,2.83,19.119,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,154,100.326,60.9,20.2,40.7,673.0,19.96,2.84,18.948,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,155,100.326,60.7,20.3,40.4,675.1,19.96,2.86,18.753,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,156,100.326,60.5,20.3,40.2,671.9,19.97,2.84,18.645,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,157,100.326,60.2,20.6,39.6,676.2,19.98,2.87,18.465,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,158,100.326,60.0,20.5,39.5,674.1,19.97,2.83,18.392,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,159,100.326,59.7,20.3,39.4,673.7,20.0,2.84,18.305,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,160,100.326,59.5,20.5,39.0,673.9,20.02,2.86,18.144,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,161,100.326,59.3,20.4,38.9,677.0,20.05,2.9,18.073,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,162,100.326,59.1,20.3,38.8,675.8,20.03,2.97,17.966,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,163,100.326,58.9,20.4,38.5,673.1,19.99,3.03,17.857,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,164,100.326,58.7,20.3,38.4,673.8,19.99,2.99,17.802,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,165,100.326,58.5,20.4,38.1,673.8,19.99,2.99,17.692,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,166,100.326,58.2,20.2,38.0,671.1,19.93,2.92,17.658,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,167,100.326,57.9,20.4,37.5,665.8,19.91,2.92,17.531,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,168,100.326,57.7,20.2,37.5,662.7,19.9,2.95,17.493,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,169,100.326,57.4,20.2,37.2,665.2,19.97,2.91,17.421,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
80,170,100.326,57.2,20.1,37.1,664.9,20.03,2.86,17.393,Cooling spike / fouling transient. Exotherm briefly elevated; jacket recovered.,COOLING_SPIKE
