batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
116,36,97.722,115.5,17.5,98.0,601.9,10.61,1.35,45.838,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,37,97.722,115.4,17.7,97.7,600.8,10.46,1.31,45.874,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,38,97.722,115.4,17.9,97.5,599.2,10.32,1.34,45.837,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,39,97.722,115.3,17.8,97.5,600.1,10.22,1.35,45.868,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,40,97.722,115.4,17.7,97.7,603.3,10.14,1.36,45.857,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,41,97.722,115.4,17.8,97.6,602.0,10.15,1.37,45.837,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,42,97.722,115.4,17.7,97.7,605.1,10.13,1.29,45.869,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,43,97.722,115.3,17.7,97.6,605.9,10.11,1.33,45.93,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,44,97.722,115.4,17.9,97.5,606.9,10.11,1.38,45.925,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,45,97.722,115.4,17.9,97.5,612.3,10.09,1.29,45.85,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,46,97.722,115.4,18.0,97.4,616.4,10.06,1.28,45.867,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,47,97.722,115.4,18.0,97.4,621.6,10.03,1.34,45.915,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,48,97.722,115.5,18.0,97.5,620.0,10.0,1.35,45.908,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,49,97.722,115.5,18.0,97.5,624.5,9.99,1.37,45.901,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,50,97.722,115.6,18.0,97.6,629.6,9.99,1.36,45.91,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,51,97.722,115.6,17.8,97.8,628.7,9.96,1.34,45.946,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,52,97.722,115.6,17.9,97.7,630.5,9.96,1.33,45.925,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,53,97.722,115.6,17.9,97.7,631.6,9.99,1.33,45.927,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,54,97.722,115.7,17.9,97.8,630.8,9.98,1.38,45.931,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,55,97.722,115.8,17.7,98.1,630.1,10.08,1.43,45.984,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,56,97.722,115.7,17.8,97.9,629.5,9.97,1.46,46.025,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,57,97.722,115.6,17.7,97.9,629.0,9.95,1.47,46.013,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,58,97.722,115.6,17.7,97.9,630.7,9.99,1.44,45.981,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,59,97.722,115.6,17.6,98.0,629.7,10.02,1.53,46.006,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,60,97.722,115.6,17.6,98.0,633.0,10.03,1.6,45.999,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,61,97.722,115.7,17.6,98.1,634.7,10.01,1.56,46.035,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,62,97.722,115.8,17.7,98.1,635.0,10.02,1.52,46.024,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,63,97.722,115.7,17.5,98.2,634.2,9.97,1.49,46.039,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,64,97.722,115.6,17.6,98.0,639.4,9.9,1.49,46.004,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,65,97.722,115.6,17.5,98.1,643.1,9.98,1.42,46.047,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,66,97.722,115.7,17.6,98.1,642.7,9.95,1.39,46.066,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,67,97.722,115.7,17.4,98.3,646.3,9.98,1.37,46.074,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,68,97.722,115.7,17.6,98.1,646.9,9.97,1.39,46.03,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,69,97.722,115.7,17.6,98.1,644.0,9.98,1.44,46.06,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,70,97.722,115.6,17.5,98.1,641.9,9.97,1.45,46.101,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,71,97.722,115.7,17.3,98.4,639.0,9.94,1.46,46.09,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,72,97.722,115.7,17.5,98.2,640.9,9.95,1.47,46.081,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,73,97.722,115.6,17.3,98.3,642.2,10.0,1.45,46.098,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,74,97.722,115.7,17.4,98.3,642.6,9.95,1.45,46.08,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,75,97.722,115.6,17.4,98.2,642.0,9.95,1.43,46.091,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,76,97.722,115.5,17.3,98.2,638.8,9.98,1.39,46.085,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,77,97.722,115.6,17.2,98.4,640.2,9.99,1.42,46.08,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,78,97.722,115.4,17.0,98.4,642.6,10.0,1.44,46.146,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,79,97.722,115.6,17.2,98.4,648.2,9.97,1.44,46.05,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,80,97.722,115.6,17.1,98.5,649.6,9.97,1.42,46.049,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,81,97.722,115.6,17.2,98.4,653.3,9.98,1.43,46.099,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,82,97.722,115.5,17.1,98.4,654.5,9.97,1.44,46.113,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,83,97.722,115.6,17.2,98.4,658.1,9.95,1.48,46.106,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,84,97.722,115.7,17.3,98.4,659.0,9.92,1.48,46.109,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,85,97.722,115.7,17.2,98.5,656.1,9.97,1.47,46.136,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,86,97.722,115.7,17.3,98.4,657.6,9.98,1.42,46.077,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,87,97.722,115.7,17.1,98.6,657.3,10.01,1.5,46.106,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,88,97.722,115.8,16.9,98.9,659.5,10.02,1.45,46.148,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,89,97.722,115.6,16.9,98.7,658.6,9.99,1.42,46.147,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,90,97.722,115.7,17.0,98.7,655.5,9.93,1.42,46.097,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,91,97.722,115.7,16.9,98.8,656.4,9.89,1.45,46.133,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,92,97.722,115.8,16.9,98.9,656.3,9.88,1.46,46.129,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,93,97.722,115.8,16.7,99.1,656.1,9.85,1.44,46.12,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,94,97.722,115.7,16.9,98.8,661.1,9.88,1.42,46.084,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,95,97.722,115.8,17.2,98.6,661.7,10.21,1.45,46.074,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,96,97.722,115.7,17.1,98.6,662.5,11.42,1.43,46.112,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,97,97.722,115.8,17.0,98.8,661.6,13.05,1.46,46.06,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,98,97.722,115.7,17.0,98.7,666.4,14.87,1.46,46.095,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,99,97.722,115.7,17.0,98.7,669.9,16.85,1.42,46.089,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,100,97.722,115.7,17.2,98.5,674.4,18.92,1.36,46.091,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,101,97.722,115.6,17.5,98.1,674.5,20.01,1.28,46.046,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,102,97.722,115.6,17.7,97.9,670.6,20.04,1.32,46.088,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,103,97.722,115.4,17.7,97.7,669.6,20.1,1.34,46.002,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,104,97.722,115.0,17.6,97.4,666.4,20.11,1.34,45.791,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,105,97.722,114.2,17.6,96.6,666.2,20.07,1.31,45.457,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,106,97.722,113.3,17.6,95.7,666.2,20.06,1.24,45.009,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,107,97.722,112.3,17.8,94.5,668.2,20.01,1.24,44.479,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,108,97.722,111.0,17.7,93.3,667.8,19.99,1.26,43.831,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,109,97.722,109.5,17.7,91.8,670.2,19.97,1.27,43.18,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,110,97.722,107.8,18.1,89.7,670.7,20.04,1.24,42.362,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,111,97.722,106.1,18.0,88.1,668.2,20.05,1.23,41.64,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,112,97.722,104.4,17.9,86.5,668.8,20.04,1.23,40.787,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,113,97.722,102.5,17.8,84.7,668.6,20.03,1.25,39.963,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,114,97.722,100.6,18.0,82.6,666.9,19.99,1.25,39.11,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,115,97.722,98.8,17.9,80.9,666.2,20.01,1.29,38.28,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,116,97.722,96.9,18.0,78.9,666.4,20.06,1.44,37.329,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,117,97.722,95.1,18.3,76.8,666.9,20.05,1.67,36.486,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,118,97.722,93.5,18.3,75.2,670.0,20.01,1.84,35.645,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,119,97.722,91.7,18.3,73.4,668.4,20.03,2.01,34.82,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,120,97.722,90.1,18.1,72.0,667.6,20.02,2.7,34.021,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,121,97.722,88.4,18.0,70.4,668.8,20.01,2.7,33.226,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,122,97.722,86.9,19.9,67.0,667.5,20.0,2.72,31.52,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,123,97.722,85.5,20.0,65.5,668.6,20.02,2.73,30.781,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,124,97.722,84.0,19.8,64.2,669.8,20.09,2.73,30.167,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,125,97.722,82.5,19.6,62.9,673.0,20.11,2.76,29.472,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,126,97.722,81.2,19.6,61.6,669.1,20.06,2.78,28.852,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,127,97.722,79.9,19.7,60.2,667.0,20.05,2.78,28.226,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,128,97.722,78.7,19.9,58.8,667.1,20.03,2.75,27.671,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,129,97.722,77.5,20.1,57.4,668.2,20.06,2.73,27.052,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,130,97.722,76.3,19.9,56.4,669.4,20.08,2.74,26.506,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,131,97.722,75.2,20.0,55.2,667.5,20.12,2.74,25.998,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,132,97.722,74.2,19.7,54.5,668.1,20.13,2.79,25.587,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,133,97.722,73.3,19.8,53.5,670.8,20.07,2.83,25.052,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,134,97.722,72.3,19.9,52.4,670.4,20.07,2.73,24.646,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,135,97.722,71.3,20.0,51.3,672.4,20.11,2.76,24.186,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,136,97.722,70.5,19.8,50.7,670.7,20.13,2.71,23.819,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,137,97.722,69.5,19.7,49.8,673.0,20.12,2.68,23.394,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,138,97.722,68.9,19.9,49.0,672.9,20.17,2.67,23.005,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,139,97.722,68.1,19.8,48.3,673.0,20.14,2.72,22.661,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,140,97.722,67.4,19.7,47.7,674.5,20.07,2.68,22.37,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,141,97.722,66.7,19.5,47.2,675.3,20.04,2.72,22.066,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,142,97.722,66.0,19.7,46.3,673.0,20.05,2.69,21.757,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,143,97.722,65.5,19.8,45.7,669.8,20.04,2.7,21.464,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,144,97.722,64.9,19.7,45.2,666.3,20.05,2.66,21.179,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,145,97.722,64.4,19.5,44.9,667.4,20.1,2.69,20.951,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,146,97.722,64.0,19.5,44.5,668.1,20.13,2.72,20.699,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,147,97.722,63.5,19.6,43.9,671.9,20.14,2.74,20.499,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,148,97.722,63.0,19.8,43.2,670.2,20.11,2.73,20.256,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,149,97.722,62.6,19.9,42.7,667.6,20.11,2.75,20.048,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,150,97.722,62.2,19.8,42.4,667.0,20.07,2.75,19.817,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,151,97.722,61.8,19.8,42.0,668.1,20.08,2.81,19.659,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,152,97.722,61.3,19.8,41.5,668.2,20.07,2.79,19.491,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,153,97.722,61.0,19.7,41.3,670.5,20.07,2.83,19.337,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,154,97.722,60.5,19.5,41.0,669.8,20.02,2.81,19.19,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,155,97.722,60.1,19.4,40.7,674.1,20.05,2.81,19.019,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,156,97.722,59.9,19.3,40.6,673.0,20.09,2.78,18.866,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,157,97.722,59.7,19.6,40.1,670.3,19.99,2.78,18.747,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,158,97.722,59.4,19.6,39.8,675.3,19.95,2.78,18.64,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,159,97.722,59.2,19.6,39.6,673.9,19.92,2.77,18.455,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,160,97.722,58.9,19.5,39.4,676.6,19.96,2.83,18.421,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,161,97.722,58.6,19.6,39.0,678.0,19.96,2.84,18.289,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,162,97.722,58.3,19.2,39.1,676.0,19.96,2.81,18.208,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,163,97.722,58.0,19.3,38.7,679.5,19.96,2.8,18.1,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,164,97.722,57.7,19.4,38.3,675.2,19.95,2.82,17.99,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
116,165,97.722,57.5,19.4,38.1,674.6,19.91,2.85,17.919,Calibration check flagged: reactor RTD biased high (~0.5°C linear offset).,SENSOR_DRIFT
