batch_id,time_step_min,raw_material_purity_coa,T_reactor,T_jacket,delta_T,agitator_torque,headspace_pressure,H2_flow_rate,cooling_water_flow,shift_note,anomaly_flag
72,88,98.536,114.9,15.2,99.7,665.8,9.86,1.42,47.021,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,89,98.536,115.0,15.0,100.0,661.8,9.86,1.4,47.081,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,90,98.536,115.0,14.9,100.1,659.5,9.88,1.42,47.044,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,91,98.536,115.0,15.1,99.9,666.2,9.87,1.38,47.059,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,92,98.536,115.0,15.1,99.9,667.2,9.89,1.38,47.066,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,93,98.536,115.0,15.5,99.5,666.6,9.91,1.43,47.004,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,94,98.536,115.1,15.5,99.6,668.1,10.36,1.4,47.044,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,95,98.536,115.2,15.6,99.6,666.9,11.48,1.33,47.035,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,96,98.536,115.3,15.9,99.4,667.1,12.95,1.31,46.998,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,97,98.536,115.3,15.7,99.6,660.8,14.58,1.22,47.039,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,98,98.536,115.2,15.8,99.4,660.5,16.34,1.18,47.001,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,99,98.536,115.3,15.6,99.7,660.7,18.23,1.16,47.034,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,100,98.536,115.4,15.5,99.9,665.1,19.83,1.18,47.024,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,101,98.536,115.3,15.3,100.0,665.0,19.81,1.2,47.011,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,102,98.536,115.4,15.5,99.9,662.2,19.82,1.21,46.956,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,103,98.536,115.1,15.7,99.4,664.2,19.88,1.17,46.762,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,104,98.536,114.5,15.5,99.0,662.2,19.88,1.18,46.5,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,105,98.536,113.8,15.5,98.3,667.6,19.86,1.12,46.133,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,106,98.536,112.9,15.4,97.5,666.3,19.86,1.15,45.655,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,107,98.536,111.6,15.4,96.2,666.2,19.87,1.11,45.061,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,108,98.536,110.2,15.3,94.9,662.3,19.89,1.11,44.396,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,109,98.536,108.6,15.4,93.2,663.6,19.93,1.11,43.694,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,110,98.536,107.0,15.5,91.5,663.8,19.93,1.12,42.908,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,111,98.536,105.1,15.7,89.4,666.3,19.94,1.11,42.122,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,112,98.536,103.4,15.7,87.7,664.6,19.93,1.21,41.27,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,113,98.536,101.5,15.8,85.7,664.2,20.0,1.29,40.458,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,114,98.536,99.7,15.9,83.8,664.4,20.03,1.33,39.534,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,115,98.536,97.9,16.0,81.9,663.4,19.99,1.3,38.658,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,116,98.536,96.1,16.1,80.0,663.9,19.95,1.43,37.805,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,117,98.536,94.2,16.0,78.2,661.7,19.95,1.59,36.982,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,118,98.536,92.5,16.1,76.4,662.1,19.93,1.82,36.077,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,119,98.536,90.7,16.1,74.6,662.2,19.89,2.03,35.261,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,120,98.536,89.0,16.0,73.0,663.0,19.86,2.24,34.453,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,121,98.536,87.3,15.7,71.6,664.6,19.89,2.81,33.709,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,122,98.536,85.8,15.2,70.6,666.1,19.89,2.75,32.96,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,123,98.536,84.2,17.4,66.8,667.4,19.9,2.74,31.223,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,124,98.536,82.8,17.3,65.5,668.1,19.94,2.71,30.523,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,125,98.536,81.3,17.2,64.1,667.3,19.98,2.7,29.889,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,126,98.536,80.0,17.2,62.8,670.3,19.95,2.68,29.279,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,127,98.536,78.7,17.2,61.5,669.9,19.99,2.69,28.642,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,128,98.536,77.3,17.1,60.2,670.0,19.99,2.72,28.001,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,129,98.536,76.2,16.9,59.3,673.2,19.98,2.8,27.488,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,130,98.536,75.1,17.2,57.9,674.3,19.95,2.77,26.899,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,131,98.536,74.0,17.4,56.6,673.8,19.92,2.75,26.338,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,132,98.536,72.9,17.1,55.8,671.9,19.93,2.72,25.948,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,133,98.536,72.1,17.2,54.9,671.1,19.88,2.71,25.448,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,134,98.536,71.1,17.3,53.8,667.4,19.87,2.7,24.953,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,135,98.536,70.3,17.1,53.2,666.3,19.89,2.7,24.591,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,136,98.536,69.4,17.5,51.9,667.5,19.89,2.63,24.115,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,137,98.536,68.6,17.7,50.9,671.0,19.86,2.68,23.751,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,138,98.536,67.7,17.8,49.9,670.5,19.83,2.68,23.345,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,139,98.536,66.9,17.8,49.1,667.7,19.85,2.72,22.973,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,140,98.536,66.2,17.6,48.6,669.6,19.85,2.73,22.631,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,141,98.536,65.5,17.8,47.7,667.2,19.89,2.74,22.371,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,142,98.536,64.8,17.9,46.9,668.9,19.85,2.74,21.975,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,143,98.536,64.1,17.8,46.3,669.0,19.82,2.75,21.744,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,144,98.536,63.5,17.9,45.6,667.5,19.85,2.75,21.488,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,145,98.536,62.8,18.0,44.8,668.6,19.86,2.74,21.211,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,146,98.536,62.4,17.9,44.5,668.8,19.88,2.74,20.975,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,147,98.536,61.9,17.8,44.1,665.6,19.9,2.74,20.731,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,148,98.536,61.4,17.9,43.5,665.8,19.91,2.8,20.469,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,149,98.536,61.0,17.8,43.2,661.4,19.91,2.79,20.307,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,150,98.536,60.6,17.9,42.7,659.8,20.0,2.84,20.098,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,151,98.536,60.1,17.9,42.2,658.4,19.98,2.89,19.869,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,152,98.536,59.6,17.9,41.7,659.6,20.0,2.87,19.698,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,153,98.536,59.2,17.9,41.3,657.3,20.04,2.89,19.578,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,154,98.536,58.9,17.9,41.0,656.6,19.99,2.81,19.387,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,155,98.536,58.6,18.1,40.5,659.4,19.99,2.81,19.222,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,156,98.536,58.2,18.2,40.0,660.8,20.04,2.81,19.079,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,157,98.536,58.0,18.2,39.8,661.9,19.97,2.78,18.985,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,158,98.536,57.7,18.3,39.4,666.4,20.0,2.74,18.787,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,159,98.536,57.4,18.3,39.1,664.4,20.01,2.73,18.688,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,160,98.536,57.0,18.3,38.7,666.4,20.06,2.71,18.599,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,161,98.536,56.7,18.4,38.3,666.4,20.03,2.77,18.512,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,162,98.536,56.5,18.2,38.3,664.8,20.01,2.76,18.407,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,163,98.536,56.2,18.3,37.9,665.3,19.98,2.78,18.258,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,164,98.536,56.0,18.1,37.9,662.7,20.0,2.83,18.163,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,165,98.536,55.8,18.1,37.7,665.6,20.04,2.84,18.074,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,166,98.536,55.5,18.2,37.3,665.1,20.06,2.86,17.981,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,167,98.536,55.2,18.0,37.2,664.3,20.04,2.89,17.962,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,168,98.536,55.0,18.2,36.8,663.7,20.07,2.93,17.859,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,169,98.536,54.7,18.1,36.6,665.8,20.01,2.93,17.781,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,170,98.536,54.5,18.3,36.2,666.8,19.98,2.87,17.697,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,171,98.536,54.5,18.3,36.2,672.5,20.01,2.9,17.68,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,172,98.536,54.3,18.4,35.9,672.9,20.1,2.83,17.574,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,173,98.536,54.2,18.4,35.8,674.0,20.06,2.76,17.549,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,174,98.536,54.1,18.3,35.8,674.7,20.11,2.77,17.478,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,175,98.536,54.0,18.0,36.0,674.1,20.15,2.74,17.475,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
72,176,98.536,54.0,17.8,36.2,674.3,20.13,2.71,17.414,Cooling utility temp hunting; jacket duty soft for ~20 min then recovered.,COOLING_SPIKE
